date,state,fips,cases
3/9/20,Washington,53,179
3/9/20,Wisconsin,55,2
3/10/20,Arizona,4,6
3/10/20,California,6,179
3/10/20,Colorado,8,17
3/10/20,Connecticut,9,2
3/10/20,District of Columbia,11,4
3/10/20,Florida,12,23
3/10/20,Georgia,13,22
3/10/20,Hawaii,15,2
3/10/20,Illinois,17,19
3/10/20,Indiana,18,6
3/10/20,Iowa,19,13
3/10/20,Kansas,20,1
3/10/20,Kentucky,21,7
3/10/20,Louisiana,22,6
3/10/20,Maryland,24,9
3/10/20,Massachusetts,25,92
3/10/20,Michigan,26,2
3/10/20,Minnesota,27,3
3/10/20,Missouri,29,1
3/10/20,Nebraska,31,17
3/10/20,Nevada,32,4
3/10/20,New Hampshire,33,5
3/10/20,New Jersey,34,15
3/10/20,New York,36,173
3/10/20,North Carolina,37,7
3/10/20,Ohio,39,3
3/10/20,Oklahoma,40,2
3/10/20,Oregon,41,14
3/10/20,Pennsylvania,42,12
3/10/20,Rhode Island,44,5
3/10/20,South Carolina,45,9
3/10/20,South Dakota,46,5
3/10/20,Tennessee,47,7
3/10/20,Texas,48,31
3/10/20,Utah,49,4
3/10/20,Vermont,50,1
3/10/20,Virginia,51,8
3/10/20,Washington,53,279
3/10/20,Wisconsin,55,3
3/11/20,Arizona,4,9
3/11/20,Arkansas,5,1
3/11/20,California,6,202
3/11/20,Colorado,8,34
3/11/20,Connecticut,9,3
3/11/20,Delaware,10,1
3/11/20,District of Columbia,11,10
3/11/20,Florida,12,26
3/11/20,Georgia,13,31
3/11/20,Hawaii,15,2
3/11/20,Illinois,17,25
3/11/20,Indiana,18,11
3/11/20,Iowa,19,14
3/11/20,Kansas,20,1
3/11/20,Kentucky,21,7
3/11/20,Louisiana,22,13
3/11/20,Maryland,24,13
3/11/20,Massachusetts,25,95
3/11/20,Michigan,26,2
3/11/20,Minnesota,27,5
3/11/20,Mississippi,28,1
3/11/20,Missouri,29,1
3/11/20,Nebraska,31,23
3/11/20,Nevada,32,7
3/11/20,New Hampshire,33,5
3/11/20,New Jersey,34,23
3/11/20,New Mexico,35,4
3/11/20,New York,36,217
3/11/20,North Carolina,37,8
3/11/20,North Dakota,38,1
3/11/20,Ohio,39,4
3/11/20,Oklahoma,40,2
3/11/20,Oregon,41,20
3/11/20,Pennsylvania,42,16
3/11/20,Rhode Island,44,5
3/11/20,South Carolina,45,10
3/11/20,South Dakota,46,8
3/11/20,Tennessee,47,8
3/11/20,Texas,48,33
3/11/20,Utah,49,5
3/11/20,Vermont,50,2
3/11/20,Virginia,51,10
3/11/20,Washington,53,338
3/11/20,Wisconsin,55,6
3/11/20,Wyoming,56,1
3/12/20,Alaska,2,1
3/12/20,Arizona,4,9
3/12/20,Arkansas,5,6
3/12/20,California,6,252
3/12/20,Colorado,8,49
3/12/20,Connecticut,9,6
3/12/20,Delaware,10,4
3/12/20,District of Columbia,11,10
3/12/20,Florida,12,46
3/12/20,Georgia,13,31
3/12/20,Hawaii,15,2
3/12/20,Illinois,17,32
3/12/20,Indiana,18,12
3/12/20,Iowa,19,16
3/12/20,Kansas,20,5
3/12/20,Kentucky,21,11
3/12/20,Louisiana,22,14
3/12/20,Maine,23,1
3/12/20,Maryland,24,13
3/12/20,Massachusetts,25,108
3/12/20,Michigan,26,12
3/12/20,Minnesota,27,9
3/12/20,Mississippi,28,1
3/12/20,Missouri,29,2
3/12/20,Nebraska,31,24
3/12/20,Nevada,32,11
3/12/20,New Hampshire,33,6
3/12/20,New Jersey,34,29
3/12/20,New Mexico,35,6
3/12/20,New York,36,326
3/12/20,North Carolina,37,16
3/12/20,North Dakota,38,1
3/12/20,Ohio,39,5
3/12/20,Oklahoma,40,2
3/12/20,Oregon,41,30
3/12/20,Pennsylvania,42,22
3/12/20,Rhode Island,44,5
3/12/20,South Carolina,45,12
3/12/20,South Dakota,46,8
3/12/20,Tennessee,47,18
3/12/20,Texas,48,41
3/12/20,Utah,49,7
3/12/20,Vermont,50,2
3/12/20,Virginia,51,17
3/12/20,Washington,53,419
3/12/20,Wisconsin,55,8
3/12/20,Wyoming,56,1
3/13/20,Alabama,1,6
3/13/20,Alaska,2,1
3/13/20,Arizona,4,9
3/13/20,Arkansas,5,7
3/13/20,California,6,320
3/13/20,Colorado,8,78
3/13/20,Connecticut,9,11
3/13/20,Delaware,10,4
3/13/20,District of Columbia,11,10
3/13/20,Florida,12,70
3/13/20,Georgia,13,41
3/13/20,Hawaii,15,2
3/13/20,Idaho,16,1
3/13/20,Illinois,17,46
3/13/20,Indiana,18,12
3/13/20,Iowa,19,17
3/13/20,Kansas,20,6
3/13/20,Kentucky,21,11
3/13/20,Louisiana,22,36
3/13/20,Maine,23,2
3/13/20,Maryland,24,18
3/13/20,Massachusetts,25,123
3/13/20,Michigan,26,25
3/13/20,Minnesota,27,14
3/13/20,Mississippi,28,6
3/13/20,Missouri,29,4
3/13/20,Montana,30,4
3/13/20,Nebraska,31,27
3/13/20,Nevada,32,19
3/13/20,New Hampshire,33,7
3/13/20,New Jersey,34,50
3/13/20,New Mexico,35,10
3/13/20,New York,36,421
3/13/20,North Carolina,37,18
3/13/20,North Dakota,38,1
3/13/20,Ohio,39,13
3/13/20,Oklahoma,40,3
3/13/20,Oregon,41,30
3/13/20,Pennsylvania,42,41
3/13/20,Puerto Rico,72,3
3/13/20,Rhode Island,44,20
3/13/20,South Carolina,45,13
3/13/20,South Dakota,46,9
3/13/20,Tennessee,47,26
3/13/20,Texas,48,58
3/13/20,Utah,49,7
3/13/20,Vermont,50,2
3/13/20,Virginia,51,30
3/13/20,Washington,53,511
3/13/20,Wisconsin,55,19
3/13/20,Wyoming,56,2
3/14/20,Alabama,1,12
3/14/20,Alaska,2,1
3/14/20,Arizona,4,12
3/14/20,Arkansas,5,9
3/14/20,California,6,381
3/14/20,Colorado,8,103
3/14/20,Connecticut,9,20
3/14/20,Delaware,10,4
3/14/20,District of Columbia,11,16
